(사)부산여성회 사회교육센터,"부산광역시 동래구 연안로59번길 99, 4층",051-504-4603,busanwomen@busanwomen.or.kr,051-503-6649,http://www.busanwomen.or.kr,미상
(사)한국장애인정보화협회 부산시협회,"부산광역시 해운대구 반송로 612,2층",051-528-7611,jang3211@hanmail.net,051-528-7612,http://www.정보화희망.com,미상
(재)부산인력개발원 부설 우성직업전문학교,부산광역시 동구 범일동105-1,051-647-4445,help@ws.or.kr,051-647-3229,http://www.ws.or.kr,미상
(주)블루킹스아카데미,"부산광역시 남구 수영로 269, 6층",051-896-4525,bluekings@bluekings.co.kr,051-896-4527,http://www.bluekings.co.kr,미상
(주)휴네일,부산광역시 금정구 남산동981-8,010-3233-4426,,051-512-4664,http://www.ehunel.com/,미상
BBS서부중고등학교,부산광역시 사하구 감천2동12-6,051-205-3433,,,,미상
BEXCO 부산전시컨벤션센터,부산광역시 해운대구 우2동1291,051-740-7300,,051-740-7320,http://www.bexco.co.kr/,미상
CBS교육문화센터,부산광역시 해운대구 좌동1461-1,051-704-9004,,,http://www.cbs.co.kr/munhwa/,미상
가남초등학교,부산광역시 부산진구 엄광로 325,051-891-2618,@,051-896-7595,http://www.ga-nam.es.kr,미상
가락중학교,부산광역시 강서구 죽림동 1090번지(가락대로 1405),051-971-8004,,051-972-8005,garak.ms.kr,미상
가락초등학교,부산광역시 강서구 죽림동 811(죽림로 41),051-971-2230,,051-972-1375,www.garak.es.kr,미상
가람중학교,부산광역시 북구 낙동북로 663번길 55,051-330-4820,,051-342-5808,www.garam.ms.kr,미상
가야고등학교,부산광역시 부산진구 가야3동 엄광로152,051-893-1885,,051-892-1888,www.gaya.hs.kr,미상
가야성심대학,부산광역시 부산진구 가야2동157,051-891-5655,,051-891-9336,http://cafe.daum.net/kyssa,미상
가야여자중학교,부산광역시 부산진구 가야3동 414-14번지(가산새싹로 35),051-892-0432,,051-891-6063,www.gaya-gm.ms.kr,미상
가야초등학교,부산광역시 부산진구 대학로 22,051-892-3515,@,051-891-0859,http://www.ka-ya.es.kr,미상
가요복지대학,부산광역시 연제구 연산2동1328-15,051-867-5608,,,,미상
감만중학교,부산광역시 남구 홍곡로 313-14,051-640-6400,,051-640-6480~1,www.gamman.ms.kr,미상
감만지역아동센터,부산 남구 감만1동329-8번지,051-634-5501,,051-634-5501,http://happylog.naver.com/v919191.do,미상
감정초등학교,부산광역시 사하구 옥천로 130,051-200-0100,@,051-291-1532,http://gamjung.es.kr/,미상
감천중학교,부산광역시 사하구 감천로 73번길 60,051-208-3034,,051-208-5194,gamcheon.ms.kr,미상
감천초등학교,부산광역시 사하구 원양로 368-2,051-206-9481,@,051-206-9480,http://www.gam.es.kr,미상
강동초등학교,부산광역시 해운대구 우2동 1113(수영역 2길),051-740-2475,,051-743-1954,www.pusangangdong.es.kr/,미상
개금2동 청소년수련실,부산광역시 부산진구 개금2동산 57-9번지,051-893-0035~6,,051-893-0037,http://www.yjingu.or.kr/,미상
개금고등학교,부산광역시 부산진구 백양대로 208번길 71(개금동),051-895-4484,,051-894-1716,kaekeum.hs.kr,미상
개금동 청소년 공부방,부산광역시 부산진구 개금3동246-4,051-894-0074,,051-894-0235,,미상
개금여자중학교,부산광역시 부산진구 백양대로 136번길 75(당감동),051-607-3070,,051-607-3099,gaegum.ms.kr,미상
개금초등학교,부산광역시 부산진구 가야대로443번길 25-10,051-894-9723,@,051-893-0422,http://kaegum.es.kr/,미상
개림중학교,부산광역시 부산진구 개금3동 445-1(백양로 386),051-890-0700,,051-896-7717,www.gaerim.ms.kr,미상
개림초등학교,부산광역시 부산진구 백양대로320번길 40,051-607-7030,@,051-607-7090,http://gaerim.es.kr,미상
개성고등학교,부산광역시 부산진구 당감서로 137,051-897-6404,,051-897-6532,www.gaesung.hs.kr,미상
개원초등학교,부산광역시 부산진구 백양관문로77번길 17,051-927-9650,@,051-893-8776,http://kaewone.es.kr,미상
개포초등학교,부산광역시 부산진구 백양대로208번길 9,051-930-8005,@,051-930-8099,http://www.gaepo.es.kr,미상
개화초등학교,부산광역시 부산진구 개금본동로66번길 12-12,051-890-0107,@,051-890-0198,http://www.kae-hwa.es.kr,미상
거성중학교,부산광역시 연제구 거제4동 해맞이로 109번길 61,051-504-5376,,051-502-5536,www.geosung.ms.kr,미상
거제2동새마을금고 작은도서관,부산광역시 연제구 거제2동1180-10,051-665-4511,,051-665-4511,,미상
거제경로대학( 구 한마음노인대학),부산광역시 연제구 거제2동878-7,051-504-1242,sonata-95@hanmail.net,051-504-8468,http://www.kjch.org/,미상
거제초등학교,부산광역시 연제구 거제4동 676-152(해맞이로 250),051-506-0375,,501-505-1265,www.gue-je.es.kr,미상
